"disp_name","pos","bp","dc","fp","pod","keepable_price","fp_surp"
"Carlos Correa (SS)","SS",48.2,45.4,51.3,50,1,50.3
"Francisco Lindor (SS)","SS",36.4,20.5,31.8,31.7,1,30.8
"Corey Seager (SS)","SS",16.9,15.2,21.3,29.3,2,19.3
"Xander Bogaerts (SS)","SS",30.9,29.7,32.1,18.5,22,10.1
"Elvis Andrus (SS)","SS",31.6,10.8,16.9,13.6,15,1.9
"Alcides Escobar (SS)","SS",26.9,6.6,11.2,13.6,4,7.2
"Jhonny Peralta (SS)","SS",-62.7,-53.5,-39.7,9,1,-40.7
"Jung-Ho Kang (SS)","SS",-36.8,11.7,-11.4,6.6,2,-13.4
"Jose Reyes (SS)","SS",-13.2,19.7,-15.9,5.4,22,-37.9
"Marcus Semien (SS)","SS",1.1,3.1,8.6,4.5,2,6.6
"Ian Desmond (SS)","SS",2.9,2,10.8,1.5,36,-25.2
"Jean Segura (SS)","SS",1.4,-18.9,1.8,1.1,5,-3.2
"Troy Tulowitzki (SS)","SS",34.7,3,7.8,1.1,50,-42.2
"Brandon Crawford (SS)","SS",6.8,7.5,5.4,-5.9,1,4.4
"Starlin Castro (SS)","SS",-34.8,3.6,7.4,-6.5,16,-8.6
"Addison Russell (SS)","SS",3.1,3.5,5.4,-7.3,1,4.4
"Didi Gregorius (SS)","SS",-0.2,3.7,-13.4,-11,1,-14.4
"Ketel Marte (SS)","SS",0.7,-16,4.1,-13.6,1,3.1
"Eugenio Suarez (SS)","SS",-16.2,-25.3,-9.1,-18.8,1,-10.1
"Trea Turner (SS)","SS",-29.7,-47.4,-46.9,-44,1,-47.9
"J.P. Crawford (SS)","SS",-71.4,-80.1,-60.8,NA,1,-61.8
